Year,L Income,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,L 2070,L 2075,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,International Index
Inception date,8/1/2005,8/1/2005,7/1/2020,8/1/2005,7/1/2020,1/31/2011,7/1/2020,7/1/2020,7/1/2020,7/26/2024,6/30/2025,4/1/1987,1/29/1988,,1/29/1988,,5/1/2001,,5/1/2001,
1 year,11.62%,20.47%,22.62%,24.34%,25.83%,27.33%,32.65%,32.65%,32.65%,32.64%,,4.37%,4.07%,4.06%,31.03%,31.05%,33.88%,33.70%,35.03%,34.03%
3 year,8.50%,13.66%,14.71%,15.62%,16.40%,17.18%,19.96%,19.96%,19.96%,,,4.40%,3.45%,3.46%,21.65%,21.69%,19.62%,19.47%,17.59%,17.11%
5 year,5.76%,8.22%,8.68%,9.07%,9.38%,9.72%,11.11%,11.11%,11.11%,,,3.69%,0.25%,0.18%,13.11%,13.14%,5.52%,5.34%,10.30%,9.85%
10 year,5.34%,9.18%,,10.34%,,11.31%,,,,,,2.84%,1.77%,1.67%,15.23%,15.26%,11.85%,11.70%,9.89%,9.36%
Since inception,4.71%,7.49%,11.33%,8.20%,12.59%,10.26%,15.47%,15.47%,15.47%,19.61%,,4.64%,5.26%,5.24%,11.40%,11.42%,9.65%,9.52%,6.37%,6.16%
2025,9.36%,15.17%,16.27%,17.31%,18.20%,19.07%,21.87%,21.88%,21.88%,21.89%,,4.44%,7.21%,7.30%,17.85%,17.88%,11.38%,11.32%,32.45%,32.01%
2024,7.37%,11.52%,12.18%,12.85%,13.42%,14.02%,16.28%,16.28%,16.28%,,,4.40%,1.33%,1.25%,24.96%,25.02%,16.93%,16.88%,4.27%,4.20%
2023,8.99%,15.76%,16.91%,18.04%,19.03%,20.00%,23.31%,23.30%,23.31%,,,4.22%,5.58%,5.53%,26.25%,26.29%,25.30%,24.97%,18.38%,18.24%
2022,-2.70%,-10.32%,-11.65%,-12.90%,-14.03%,-15.05%,-17.60%,-17.61%,-17.62%,,,2.98%,-12.83%,-13.01%,-18.13%,-18.11%,-26.26%,-26.54%,-13.94%,-14.45%
2021,5.42%,12.37%,13.43%,14.51%,15.40%,16.34%,19.90%,19.90%,19.90%,,,1.38%,-1.46%,-1.54%,28.68%,28.71%,12.45%,12.35%,11.45%,11.26%
2020,5.15%,11.26%,,13.16%,,14.79%,,,,,,0.97%,7.50%,7.51%,18.31%,18.40%,31.85%,32.17%,8.17%,7.82%
2019,7.60%,17.60%,,20.69%,,23.33%,,,,,,2.24%,8.68%,8.72%,31.45%,31.49%,27.97%,27.94%,22.47%,22.01%
2018,0.71%,-3.58%,,-4.89%,,-6.02%,,,,,,2.91%,0.15%,0.01%,-4.41%,-4.38%,-9.26%,-9.57%,-13.43%,-13.79%
2017,6.19%,14.54%,,16.77%,,18.81%,,,,,,2.33%,3.82%,3.54%,21.82%,21.83%,18.22%,18.12%,25.42%,25.03%
2016,3.58%,7.07%,,7.90%,,8.65%,,,,,,1.82%,2.91%,2.65%,12.01%,11.96%,16.35%,15.75%,2.10%,1.00%
2015,1.85%,1.04%,,0.73%,,0.45%,,,,,,2.04%,0.91%,0.55%,1.46%,1.38%,-2.92%,-3.42%,-0.51%,-0.81%
2014,3.77%,5.74%,,6.22%,,6.37%,,,,,,2.31%,6.73%,5.97%,13.78%,13.69%,7.80%,7.63%,-5.27%,-4.90%
2013,6.97%,20.16%,,23.23%,,26.20%,,,,,,1.89%,-1.68%,-2.02%,32.45%,32.39%,38.35%,38.05%,22.13%,22.78%
2012,4.77%,12.61%,,14.27%,,15.85%,,,,,,1.47%,4.29%,4.22%,16.07%,16.00%,18.57%,17.89%,18.62%,17.32%
2011,2.23%,-0.31%,,-0.96%,,,,,,,,2.45%,7.89%,7.84%,2.11%,2.11%,-3.38%,-3.76%,-11.81%,-12.14%
2010,5.74%,12.48%,,13.89%,,,,,,,,2.81%,6.71%,6.54%,15.06%,15.06%,29.06%,28.62%,7.94%,7.75%
2009,8.57%,22.48%,,25.19%,,,,,,,,2.97%,5.99%,5.93%,26.68%,26.46%,34.85%,37.43%,30.04%,31.78%
2008,-5.09%,-27.50%,,-31.53%,,,,,,,,3.75%,5.45%,5.24%,-36.99%,-37.00%,-38.32%,-39.03%,-42.43%,-43.38%
2007,5.56%,7.14%,,7.36%,,,,,,,,4.87%,7.09%,6.96%,5.54%,5.49%,5.49%,5.39%,11.43%,11.17%
2006,7.59%,15.00%,,16.53%,,,,,,,,4.93%,4.40%,4.33%,15.79%,15.79%,15.30%,15.28%,26.32%,26.34%
2005,,,,,,,,,,,,4.49%,2.40%,2.43%,4.96%,4.91%,10.45%,10.03%,13.63%,13.54%
2004,,,,,,,,,,,,4.30%,4.30%,4.34%,10.82%,10.88%,18.03%,18.10%,20.00%,20.25%
2003,,,,,,,,,,,,4.11%,4.11%,4.11%,28.54%,28.69%,42.92%,43.84%,37.94%,38.59%
2002,,,,,,,,,,,,5.00%,10.27%,10.27%,-22.05%,-22.10%,-18.14%,-17.80%,-15.98%,-15.94%
2001,,,,,,,,,,,,5.39%,8.61%,8.42%,-11.94%,-11.89%,,,,
2000,,,,,,,,,,,,6.42%,11.67%,11.63%,-9.14%,-9.10%,,,,
1999,,,,,,,,,,,,5.99%,-0.85%,-0.83%,20.95%,21.04%,,,,
1998,,,,,,,,,,,,5.74%,8.70%,8.67%,28.44%,28.58%,,,,
1997,,,,,,,,,,,,6.77%,9.60%,9.68%,33.17%,33.36%,,,,
1996,,,,,,,,,,,,6.76%,3.66%,3.61%,22.85%,22.96%,,,,
1995,,,,,,,,,,,,7.03%,18.31%,18.48%,37.41%,37.58%,,,,
1994,,,,,,,,,,,,7.22%,-2.96%,-2.92%,1.33%,1.32%,,,,
1993,,,,,,,,,,,,6.14%,9.52%,9.75%,10.13%,10.08%,,,,
1992,,,,,,,,,,,,7.23%,7.20%,7.40%,7.70%,7.62%,,,,
1991,,,,,,,,,,,,8.15%,15.75%,16.00%,30.77%,30.47%,,,,
1990,,,,,,,,,,,,8.90%,8.00%,8.95%,-3.15%,-3.10%,,,,
1989,,,,,,,,,,,,8.81%,13.89%,14.53%,31.03%,31.69%,,,,
1988,,,,,,,,,,,,8.81%,3.63%,7.88%,11.84%,16.61%,,,,
1987,,,,,,,,,,,,,,,,,,,,
